Unit ID,Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,Government unit ID,Wiki URL,Wiki URL local
OG0014217,Wetzel County - Antero,,oil and gas,asset,United States,West Virginia,39.66666667,-80.5,approximate,operating,2020,,,Antero Resources,,,,,,,"https://www.gem.wiki/Wetzel_County_-_Antero_Oil_and_Gas_Asset_(West_Virginia,_United_States)",
OG0014218,Monroe County - Antero,,oil and gas,asset,United States,Ohio,39.82401764,-81.25332059,exact,operating,2020,,,Antero Resources,,,,,,,"https://www.gem.wiki/Monroe_County_-_Antero_Oil_and_Gas_Asset_(Ohio,_United_States)",
OG0014219,Noble County - Antero,,oil and gas,asset,United States,Ohio,39.8811395,-81.3489624,exact,operating,2020,,,Antero Resources,,,,,,,"https://www.gem.wiki/Noble_County_-_Antero_Oil_and_Gas_Asset_(Ohio,_United_States)",
OG0014220,Alpine High (Cons) - Apache,,oil and gas,asset,United States,Texas,31.16873978,-103.8577401,exact,operating,2019,,,Apache Co.,,,,,,01942500_027200,"https://www.gem.wiki/Alpine_High_(Cons)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014221,Phantom (Wolfcamp) - Apache,,oil and gas,asset,United States,Texas,31.61791668,-103.7647162,exact,operating,2019,,,Apache Co.,,,,,,71052900_027200,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014222,Spraberry (Trend Area) District 8 - Apache,,oil and gas,asset,United States,Texas,31.87122758,-101.6799555,exact,operating,2019,,,Apache Co.,,,,,,85280300_027200,"https://www.gem.wiki/Spraberry_(Trend_Area)_District_8_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014223,Spraberry (Trend Area) District 7C - Apache,,oil and gas,asset,United States,Texas,31.45404499,-101.6765115,exact,operating,2019,,,Apache Co.,,,,,,85279200_027200,"https://www.gem.wiki/Spraberry_(Trend_Area)_District_7C_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014224,Spraberry (Trend Area) R 40 EXC District 7C - Apache,,oil and gas,asset,United States,Texas,31.52786309,-101.9312571,exact,operating,2019,,,Apache Co.,,,,,,85279201_027200,"https://www.gem.wiki/Spraberry_(Trend_Area)_R_40_EXC_District_7C_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014225,Lin (Wolfcamp) - Apache,,oil and gas,asset,United States,Texas,31.2336797,-101.102989,exact,operating,2019,,,Apache Co.,,,,,,53613750_027200,"https://www.gem.wiki/Lin_(Wolfcamp)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014226,Spraberry (Trend Area) R 40 EXC District 8 - Apache,,oil and gas,asset,United States,Texas,31.72998363,-101.8252594,exact,operating,2019,,,Apache Co.,,,,,,85280301_027200,"https://www.gem.wiki/Spraberry_(Trend_Area)_R_40_EXC_District_8_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014227,Slaughter - Apache,,oil and gas,asset,United States,Texas,33.48165528,-102.6037427,exact,operating,2019,,,Apache Co.,,,,,,83991001_027200,"https://www.gem.wiki/Slaughter_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014228,TXL (Tubb) - Apache,,oil and gas,asset,United States,Texas,31.86264045,-102.7046168,approximate,operating,2019,,,Apache Co.,,,,,,88071696_027200,"https://www.gem.wiki/TXL_(Tubb)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014229,Levelland - Apache,,oil and gas,asset,United States,Texas,33.58885519,-102.6494297,exact,operating,2019,,,Apache Co.,,,,,,53411001_027200,"https://www.gem.wiki/Levelland_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014230,Wasson - Apache,,oil and gas,asset,United States,Texas,33.01745962,-102.9240125,exact,operating,2019,,,Apache Co.,,,,,,95397001_027200,"https://www.gem.wiki/Wasson_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014231,Mcelroy - Apache,,oil and gas,asset,United States,Texas,31.27337112,-102.2268608,exact,operating,2019,,,Apache Co.,,,,,,59337001_027200,"https://www.gem.wiki/Mcelroy_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014232,Adair - Apache,,oil and gas,asset,United States,Texas,32.9469795,-102.2863666,exact,operating,2019,,,Apache Co.,,,,,,00570001_027200,"https://www.gem.wiki/Adair_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014233,Keystone (Consolidated) - Apache,,oil and gas,asset,United States,Texas,31.87735844,-103.0633102,exact,operating,2019,,,Apache Co.,,,,,,49129150_027200,"https://www.gem.wiki/Keystone_(Consolidated)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014234,Three Bar (Wichita) - Apache,,oil and gas,asset,United States,Texas,32.16535496,-102.8085778,exact,operating,2019,,,Apache Co.,,,,,,89690750_027200,"https://www.gem.wiki/Three_Bar_(Wichita)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014235,Sandbar (Bone Spring) - Apache,,oil and gas,asset,United States,Texas,31.6839896,-103.6445065,exact,operating,2019,,,Apache Co.,,,,,,80544500_027200,"https://www.gem.wiki/Sandbar_(Bone_Spring)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014236,Brahaney - Apache,,oil and gas,asset,United States,Texas,33.18220656,-102.8720088,exact,operating,2019,,,Apache Co.,,,,,,11308001_027200,"https://www.gem.wiki/Brahaney_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014237,Giddings (Eagleford) - Apache,,oil and gas,asset,United States,Texas,30.5527365,-96.39216717,exact,operating,2019,,,Apache Co.,,,,,,34733610_027200,"https://www.gem.wiki/Giddings_(Eagleford)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014238,Bivins Lit (Canyon Lime) - Apache,,oil and gas,asset,United States,Texas,35.4953053,-102.1076248,approximate,operating,2019,,,Apache Co.,,,,,,08490750_027200,"https://www.gem.wiki/Bivins_Lit_(Canyon_Lime)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)",
